SubID,Group,Pre_ERD,Post_ERD,Change
1,Haptic,-0.2165885,0.2163181,0.4329066
2,NonHaptic,-0.02572507,0.6072946,0.6330196
3,Haptic,-1.457933,-1.933683,-0.4757503
4,NonHaptic,-4.657723,-5.091325,-0.4336019
5,Haptic,-0.3810244,0.4965137,0.877538
6,NonHaptic,2.243594,-0.2379284,-2.481522
7,Haptic,-2.094253,-1.052651,1.041602
8,NonHaptic,-0.3336976,-0.663602,-0.3299044
9,Haptic,0.1795596,-0.7478404,-0.9274
10,NonHaptic,-1.053877,-1.018071,0.03580594
11,Haptic,0.006625545,0.1101008,0.1034752
12,NonHaptic,-2.962176,-2.455758,0.506418
13,Haptic,-0.09020058,1.142613,1.232814
14,NonHaptic,0.6678383,-1.099907,-1.767745
15,Haptic,-0.4016841,-1.918025,-1.516341
16,NonHaptic,-0.409746,-0.5574992,-0.1477532
17,Haptic,-0.3847651,-1.730003,-1.345237
18,NonHaptic,0.1795199,-3.516092,-3.695611
19,Haptic,-0.6408384,-0.3872736,0.2535648
20,NonHaptic,-0.8752629,-0.9471139,-0.07185096
21,Haptic,-0.8516046,-0.9660362,-0.1144316
22,NonHaptic,-2.500594,-3.5295,-1.028907
23,Haptic,-0.7110834,-0.3450284,0.3660549
24,NonHaptic,-2.804175,-4.056969,-1.252794
25,Haptic,-0.8346156,-1.162277,-0.3276616
26,NonHaptic,1.783144,-0.4516523,-2.234797
27,Haptic,-0.6521393,-1.389821,-0.7376815
28,NonHaptic,0.467854,-0.2387278,-0.7065818
29,Haptic,0.09299992,-0.5688022,-0.6618022
30,NonHaptic,-0.2020444,-0.3256262,-0.1235819
31,Haptic,0.8031985,-0.4130079,-1.216206
32,NonHaptic,-0.3216729,-0.3095101,0.0121628
33,Haptic,-0.9699426,-0.6786775,0.2912651
34,NonHaptic,-1.199533,-0.03379536,1.165737
35,Haptic,-1.877833,0.1254906,2.003324
36,NonHaptic,0.4191424,1.629308,1.210166
37,Haptic,-0.4809154,-2.416376,-1.935461
38,NonHaptic,-1.512378,-2.211287,-0.6989087
39,Haptic,-1.644316,-1.672425,-0.02810872
40,NonHaptic,-1.167415,-3.186501,-2.019086
41,Haptic,-0.2533699,-0.1538831,0.09948684
42,NonHaptic,-0.4071108,-1.216232,-0.8091211
43,Haptic,0.353204,-1.05637,-1.409574
44,NonHaptic,-0.478864,-0.4486667,0.03019735
