SubjectID,Skipped_MI_Pre,Skipped_MI_Post,Skipped_Rest_Pre,Skipped_Rest_Post
CBH0001,0,0,1,3
CBH0002,0,0,0,0
CBH0003,1,1,8,8
CBH0004,1,0,0,0
CBH0005,0,0,0,3
CBH0006,0,0,1,3
CBH0007,0,1,0,2
CBH0008,0,1,2,1
CBH0009,2,0,3,6
CBH0010,0,1,0,1
CBH0011,0,0,2,1
CBH0012,0,1,0,0
CBH0013,2,0,0,1
CBH0014,0,0,0,0
CBH0015,0,1,0,2
CBH0016,4,0,5,5
CBH0017,0,0,0,0
CBH0018,0,0,0,0
CBH0019,0,0,2,3
CBH0020,0,1,1,1
CBH0021,0,0,4,5
CBH0022,1,0,0,2
CBH0023,2,0,1,1
CBH0024,0,0,1,0
CBH0025,2,2,6,6
CBH0026,1,0,1,0
CBH0027,3,2,1,2
CBH0028,1,0,4,1
CBH0029,0,1,0,0
CBH0030,2,1,0,0
CBH0031,9,2,4,4
CBH0032,0,0,0,0
CBH0033,0,0,0,0
CBH0034,0,0,1,0
CBH0035,0,0,1,2
CBH0036,2,0,1,6
CBH0037,3,0,1,1
CBH0038,1,0,1,2
CBH0039,5,3,2,2
CBH0040,0,1,0,2
CBH0041,3,0,0,2
CBH0042,3,1,4,5
CBH0043,1,0,2,2
CBH0044,0,1,2,2
