Session Marker Log - Subject 005 - PRE Assessment
Date/Time: 2025-06-26 15:26:17
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        25.4343 | 2
        28.5176 | 3
        31.5843 | 13
        37.1061 | 15
        37.7011 | 2
        40.7680 | 4
        43.8351 | 13
        45.5870 | 14
        46.1681 | 2
        49.3183 | 4
        52.3853 | 13
        53.4730 | 14
        54.0686 | 2
        57.5691 | 3
        60.6360 | 13
        65.2521 | 14
        65.8359 | 2
        69.6030 | 4
        72.6701 | 13
        74.0607 | 14
        74.6531 | 2
        78.4203 | 3
        81.4867 | 13
        81.9430 | 14
        82.5370 | 2
        86.3870 | 3
        89.4544 | 13
        90.1822 | 14
        90.7706 | 2
        94.5710 | 4
        97.6373 | 13
        98.2755 | 14
        98.8713 | 2
       102.2382 | 3
       105.3044 | 13
       106.0042 | 14
       106.5885 | 2
       110.7386 | 4
       113.8048 | 13
       114.9230 | 14
       115.5053 | 2
       118.9225 | 3
       121.9891 | 13
       123.6217 | 14
       124.2058 | 2
       127.0055 | 4
       130.0726 | 13
       130.7085 | 14
       131.2894 | 2
       134.7063 | 4
       137.7729 | 13
       138.1984 | 14
       138.7895 | 2
       142.6067 | 3
       145.6734 | 13
       146.2827 | 14
       146.8736 | 2
       150.9236 | 4
       153.9900 | 13
       154.3858 | 14
       154.9747 | 2
       157.8068 | 3
       160.8745 | 13
       161.3910 | 14
       161.9737 | 2
       164.8574 | 4
       167.9248 | 13
       169.1951 | 14
       169.7915 | 2
       173.5582 | 3
       176.6246 | 13
       177.5035 | 14
       178.0916 | 2
       181.7421 | 4
       184.8084 | 13
       185.5055 | 14
       186.0917 | 2
       189.2091 | 3
       192.2756 | 13
       192.9154 | 14
       193.5090 | 2
       197.1928 | 3
       200.2592 | 13
       200.9860 | 14
       201.5760 | 2
       205.0768 | 4
       208.1432 | 13
       208.4787 | 14
       209.0601 | 2
       212.4765 | 3
       215.5432 | 13
       216.0892 | 14
       216.6773 | 2
       220.1441 | 4
       223.2105 | 13
       224.3605 | 14
       224.9437 | 2
       228.5106 | 4
       231.5777 | 13
       232.5771 | 14
       233.1611 | 2
       236.6279 | 3
       239.6947 | 13
       240.6637 | 14
       241.2444 | 2
       245.0117 | 4
       248.0783 | 13
       248.7453 | 14
       249.3286 | 2
       253.0284 | 3
       256.0957 | 13
       256.5830 | 14
       257.1788 | 2
       260.1292 | 4
       263.1956 | 13
       263.9540 | 14
       264.5459 | 2
       268.0129 | 3
       271.0797 | 13
       271.7471 | 14
       272.3298 | 2
       275.5968 | 3
       278.6632 | 13
       279.4216 | 14
       280.0140 | 2
       282.7469 | 4
       285.8135 | 13
       286.7832 | 14
       287.3637 | 2
       290.1309 | 4
       293.1973 | 13
       293.9571 | 14
       294.5476 | 2
       298.7147 | 3
       301.7814 | 13
       302.0881 | 14
       302.6815 | 2
       305.5643 | 4
       308.6315 | 13
       309.4208 | 14
       310.0152 | 2
       312.9480 | 3
       316.0152 | 13
       316.3514 | 14
       316.9323 | 2
       320.4326 | 3
       323.4988 | 13
       324.1974 | 14
       324.7828 | 2
       327.4660 | 4
       330.5323 | 13
       331.1089 | 14
       331.6995 | 2
       334.5831 | 3
       337.6497 | 13
       338.1972 | 14
       338.7830 | 2
       342.8166 | 4
       345.8835 | 13
       352.2839 | 14
