Session Marker Log - Subject 043 - POST Assessment
Date/Time: 2025-08-21 16:02:12
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        13.6121 | 2
        17.0457 | 3
        20.1127 | 13
        20.8139 | 14
        21.8956 | 2
        24.8963 | 4
        27.9630 | 13
        28.8427 | 14
        29.9297 | 2
        33.8130 | 4
        36.8801 | 13
        38.0020 | 14
        39.0968 | 2
        42.2305 | 3
        45.2971 | 13
        46.1794 | 14
        47.2639 | 2
        49.9643 | 4
        53.0310 | 13
        54.1817 | 14
        55.2643 | 2
        58.6812 | 3
        61.7482 | 13
        62.5363 | 14
        63.6314 | 2
        66.6314 | 3
        69.6990 | 13
        70.8509 | 14
        71.9321 | 2
        75.1488 | 4
        78.2157 | 13
        79.9717 | 14
        81.0659 | 2
        83.8658 | 3
        86.9328 | 13
        87.5615 | 14
        88.6494 | 2
        92.0994 | 4
        95.1664 | 13
        96.3198 | 14
        97.4001 | 2
       101.2834 | 3
       104.3502 | 13
       105.0778 | 14
       106.1671 | 2
       108.9340 | 4
       112.0009 | 13
       113.3957 | 14
       114.4838 | 2
       117.6174 | 4
       120.6846 | 13
       122.6200 | 15
       123.7012 | 2
       126.4184 | 3
       129.4847 | 13
       131.1494 | 14
       132.2353 | 2
       135.9851 | 4
       139.0519 | 13
       139.6328 | 14
       140.7187 | 2
       144.8188 | 3
       147.8858 | 13
       148.8278 | 14
       149.9195 | 2
       152.9025 | 4
       155.9696 | 13
       156.8781 | 15
       157.9696 | 2
       161.8198 | 3
       164.8868 | 13
       165.6462 | 14
       166.7368 | 2
       169.4534 | 4
       172.5209 | 13
       173.6732 | 14
       174.7538 | 2
       178.2545 | 3
       181.3209 | 13
       182.1102 | 14
       183.2046 | 2
       186.2884 | 3
       189.3548 | 13
       190.1751 | 14
       191.2551 | 2
       194.8881 | 4
       197.9551 | 13
       199.0482 | 14
       200.1386 | 2
       204.0388 | 3
       207.1052 | 13
       207.8969 | 14
       208.9889 | 2
       211.9563 | 4
       215.0223 | 13
       216.1752 | 14
       217.2559 | 2
       221.2232 | 4
       224.2896 | 13
       225.1081 | 14
       226.1897 | 2
       229.3902 | 3
       232.4566 | 13
       233.8483 | 14
       234.9404 | 2
       238.9075 | 4
       241.9741 | 13
       243.6103 | 14
       244.6908 | 2
       247.4578 | 3
       250.5248 | 13
       251.7677 | 14
       252.8579 | 2
       257.0248 | 4
       260.0920 | 13
       261.7876 | 14
       262.8750 | 2
       266.9917 | 3
       270.0590 | 13
       270.8188 | 14
       271.9091 | 2
       275.8423 | 3
       278.9095 | 13
       279.5178 | 14
       280.6095 | 2
       284.3264 | 4
       287.3932 | 13
       288.6066 | 14
       289.6931 | 2
       292.6598 | 4
       295.7270 | 13
       297.3812 | 14
       298.4602 | 2
       301.9270 | 3
       304.9938 | 13
       305.8421 | 14
       306.9278 | 2
       310.8276 | 4
       313.8945 | 13
       316.3732 | 14
       317.4614 | 2
       320.9285 | 3
       323.9948 | 13
       325.2096 | 14
       326.2950 | 2
       329.3790 | 3
       332.4453 | 13
       333.1137 | 14
       334.1959 | 2
       337.4626 | 4
       340.5293 | 13
       342.2831 | 14
       343.3630 | 2
       347.4801 | 3
       350.5462 | 13
       351.7931 | 14
       352.8803 | 2
       355.9467 | 4
       359.0137 | 13
       360.0478 | 14
