Session Marker Log - Subject 043 - PRE Assessment
Date/Time: 2025-08-21 15:32:23
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        71.7815 | 2
        74.6151 | 3
        77.6815 | 13
        79.3153 | 14
        80.3991 | 2
        83.3652 | 4
        86.4318 | 13
        89.0335 | 15
        90.1157 | 2
        93.1491 | 4
        96.2157 | 13
        97.6385 | 14
        98.7324 | 2
       102.1663 | 3
       105.2334 | 13
       106.1435 | 14
       107.2331 | 2
       110.8335 | 4
       113.9001 | 13
       115.1408 | 14
       116.2334 | 2
       119.6504 | 3
       122.7172 | 13
       123.9581 | 14
       125.0506 | 2
       128.0177 | 3
       131.0844 | 13
       132.2959 | 14
       133.3843 | 2
       136.2179 | 4
       139.2848 | 13
       141.3417 | 15
       142.4349 | 2
       145.2020 | 3
       148.2682 | 13
       149.8139 | 14
       150.9020 | 2
       153.7353 | 4
       156.8026 | 13
       157.8038 | 14
       158.8858 | 2
       163.0027 | 3
       166.0698 | 13
       167.0986 | 14
       168.1863 | 2
       171.2696 | 4
       174.3366 | 13
       175.7577 | 14
       176.8371 | 2
       180.1704 | 4
       183.2370 | 13
       184.3601 | 14
       185.4535 | 2
       189.0039 | 3
       192.0708 | 13
       193.4646 | 14
       194.5544 | 2
       198.7214 | 4
       201.7878 | 13
       202.9095 | 14
       204.0044 | 2
       208.1217 | 3
       211.1885 | 13
       212.2270 | 14
       213.3220 | 2
       216.9056 | 4
       219.9721 | 13
       221.3367 | 14
       222.4225 | 2
       225.9559 | 3
       229.0228 | 13
       229.8419 | 14
       230.9232 | 2
       234.4564 | 4
       237.5234 | 13
       238.6747 | 14
       239.7564 | 2
       242.9399 | 3
       246.0071 | 13
       248.1855 | 14
       249.2737 | 2
       253.1241 | 3
       256.1912 | 13
       256.9813 | 14
       258.0746 | 2
       261.9246 | 4
       264.9913 | 13
       266.2336 | 14
       267.3247 | 2
       270.2420 | 3
       273.3083 | 13
       275.0328 | 14
       276.1254 | 2
       279.8256 | 4
       282.8924 | 13
       284.0138 | 14
       285.1088 | 2
       288.5260 | 4
       291.5931 | 13
       292.7752 | 14
       293.8596 | 2
       296.6759 | 3
       299.7437 | 13
       301.0483 | 15
       302.1432 | 2
       304.8436 | 4
       307.9100 | 13
       308.7944 | 14
       309.8769 | 2
       312.9606 | 3
       316.0278 | 13
       316.7271 | 14
       317.8107 | 2
       321.4443 | 4
       324.5113 | 13
       325.9352 | 14
       327.0278 | 2
       330.0614 | 3
       333.1281 | 13
       333.9500 | 14
       335.0454 | 2
       338.1618 | 3
       341.2286 | 13
       341.8369 | 14
       342.9288 | 2
       345.8623 | 4
       348.9292 | 13
       349.6298 | 14
       350.7127 | 2
       353.7458 | 4
       356.8127 | 13
       357.7279 | 14
       358.8130 | 2
       362.7131 | 3
       365.7798 | 13
       366.6895 | 14
       367.7802 | 2
       371.8301 | 4
       374.8973 | 13
       375.8967 | 14
       376.9802 | 2
       380.6809 | 3
       383.7472 | 13
       384.4766 | 14
       385.5641 | 2
       388.9810 | 3
       392.0475 | 13
       392.9266 | 14
       394.0149 | 2
       397.0979 | 4
       400.1653 | 13
       401.6179 | 14
       402.6986 | 2
       406.2989 | 3
       409.3656 | 13
       410.4552 | 14
       411.5493 | 2
       414.3325 | 4
       417.3993 | 13
       419.9396 | 14
