Session Marker Log - Subject 007 - PRE Assessment
Date/Time: 2025-06-26 15:33:08
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        29.5952 | 2
        32.4295 | 3
        35.4959 | 13
        37.0080 | 14
        37.5962 | 2
        40.8459 | 4
        43.9132 | 13
        44.6170 | 14
        45.2129 | 2
        49.0303 | 4
        52.0972 | 13
        52.5545 | 14
        53.1467 | 2
        56.8640 | 3
        59.9304 | 13
        60.3280 | 14
        60.9140 | 2
        64.9471 | 4
        68.0138 | 13
        69.4362 | 14
        70.0306 | 2
        73.6485 | 3
        76.7146 | 13
        77.2019 | 14
        77.7985 | 2
        80.9151 | 3
        83.9816 | 13
        84.6188 | 14
        85.2151 | 2
        88.4155 | 4
        91.4821 | 13
        91.8170 | 14
        92.3988 | 2
        96.0326 | 3
        99.0994 | 13
       100.0100 | 14
       100.5992 | 2
       104.4825 | 4
       107.5495 | 13
       108.0067 | 14
       108.5995 | 2
       112.1000 | 3
       115.1667 | 13
       115.8043 | 14
       116.3997 | 2
       120.1338 | 4
       123.2000 | 13
       123.5360 | 14
       124.1171 | 2
       127.6840 | 4
       130.7504 | 13
       131.6576 | 14
       132.2507 | 2
       135.8677 | 3
       138.9346 | 13
       139.8152 | 14
       140.4011 | 2
       143.4517 | 4
       146.5181 | 13
       147.2763 | 14
       147.8683 | 2
       151.9018 | 3
       154.9690 | 13
       155.3353 | 14
       155.9187 | 2
       159.7187 | 4
       162.7859 | 13
       163.4827 | 14
       164.0694 | 2
       167.1193 | 3
       170.1859 | 13
       170.8842 | 14
       171.4691 | 2
       175.2696 | 4
       178.3360 | 13
       179.1531 | 14
       179.7368 | 2
       183.1867 | 3
       186.2539 | 13
       186.7716 | 14
       187.3539 | 2
       190.5539 | 3
       193.6201 | 13
       194.4086 | 14
       195.0038 | 2
       197.7037 | 4
       200.7712 | 13
       202.7976 | 14
       203.3878 | 2
       206.9047 | 3
       209.9714 | 13
       210.6693 | 14
       211.2552 | 2
       214.5887 | 4
       217.6551 | 13
       218.3214 | 14
       218.9049 | 2
       221.9055 | 4
       224.9720 | 13
       225.4325 | 14
       226.0397 | 2
       228.9390 | 3
       232.0060 | 13
       232.6425 | 14
       233.2227 | 2
       237.1558 | 4
       240.2227 | 13
       241.4617 | 14
       242.0561 | 2
       245.5397 | 3
       248.6066 | 13
       249.1825 | 14
       249.7736 | 2
       252.7067 | 4
       255.7737 | 13
       256.2913 | 14
       256.8736 | 2
       259.9735 | 3
       263.0410 | 13
       263.8900 | 14
       264.4738 | 2
       268.2244 | 3
       271.2912 | 13
       279.9589 | 14
       280.5419 | 2
       284.1421 | 4
       287.2088 | 13
       287.8452 | 14
       288.4253 | 2
       292.0921 | 4
       295.1590 | 13
       295.5264 | 14
       296.1088 | 2
       299.0092 | 3
       302.0755 | 13
       302.6534 | 14
       303.2428 | 2
       306.9259 | 4
       309.9929 | 13
       310.5999 | 14
       311.1928 | 2
       315.1600 | 3
       318.2268 | 13
       318.5944 | 14
       319.1770 | 2
       323.3105 | 3
       326.3775 | 13
       326.7736 | 14
       327.3608 | 2
       330.8608 | 4
       333.9278 | 13
       334.6263 | 14
       335.2108 | 2
       338.9784 | 3
       342.0446 | 13
       342.6826 | 14
       343.2782 | 2
       346.6618 | 4
       349.7283 | 13
       350.8577 | 14
