Session Marker Log - Subject 002 - PRE Assessment
Date/Time: 2025-06-23 15:11:45
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        10.6348 | 32
        13.5017 | 48
        16.5184 | 208
        20.2248 | 224
        20.7518 | 32
        23.4519 | 64
        26.4692 | 208
        27.7360 | 240
        28.2684 | 32
        32.2525 | 64
        35.2688 | 208
        36.5984 | 240
        37.1199 | 32
        41.1529 | 48
        44.1699 | 208
        46.0404 | 240
        46.5699 | 32
        49.3371 | 64
        52.3536 | 208
        53.5626 | 240
        54.0872 | 32
        58.1872 | 48
        61.2037 | 208
        62.2007 | 224
        62.7211 | 32
        66.5037 | 48
        69.5211 | 208
        71.2119 | 240
        71.7376 | 32
        75.2717 | 64
        78.2879 | 208
        78.9841 | 240
        79.5049 | 32
        83.2051 | 48
        86.2219 | 208
        87.0688 | 224
        87.5886 | 32
        90.3723 | 64
        93.3891 | 208
        95.4104 | 240
        95.9391 | 32
        99.7560 | 48
       102.7731 | 208
       106.0619 | 224
       106.5900 | 32
       110.4062 | 64
       113.4234 | 208
