Session Marker Log - Subject 007 - POST Assessment
Date/Time: 2025-07-02 11:53:39
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        17.0116 | 2
        19.7619 | 3
        22.8453 | 13
        23.6629 | 14
        24.2454 | 2
        27.1621 | 4
        30.2288 | 13
        31.2606 | 14
        31.8459 | 2
        35.2960 | 4
        38.3628 | 13
        38.6990 | 14
        39.2795 | 2
        43.1129 | 3
        46.1961 | 13
        46.8620 | 14
        47.4463 | 2
        51.1465 | 4
        54.2134 | 13
        55.0643 | 14
        55.6472 | 2
        59.0302 | 3
        62.1139 | 13
        62.9638 | 14
        63.5476 | 2
        67.0145 | 3
        70.0978 | 13
        70.7075 | 14
        71.2981 | 2
        74.0480 | 4
        77.1145 | 13
        77.7819 | 14
        78.3649 | 2
        82.2150 | 3
        85.2986 | 13
        85.9970 | 14
        86.5818 | 2
        90.1986 | 4
        93.2654 | 13
        94.0859 | 14
        94.6656 | 2
        97.6156 | 3
       100.6999 | 13
       101.3980 | 14
       101.9829 | 2
       105.6163 | 4
       108.6832 | 13
       109.3252 | 14
       109.9162 | 2
       113.4834 | 4
       116.5499 | 13
       117.3099 | 14
       117.9002 | 2
       121.2337 | 3
       124.3169 | 13
       124.8657 | 14
       125.4505 | 2
       128.9342 | 4
       132.0005 | 13
       132.5780 | 14
       133.1676 | 2
       136.4517 | 3
       139.5346 | 13
       140.8665 | 14
       141.4519 | 2
       144.9850 | 4
       148.0517 | 13
       148.7209 | 14
       149.3017 | 2
       153.1354 | 3
       156.2190 | 13
       157.0073 | 14
       157.6021 | 2
       160.8193 | 4
       163.8858 | 13
       164.7039 | 14
       165.2859 | 2
       168.7698 | 3
       171.8530 | 13
       172.3683 | 14
       172.9534 | 2
       176.0701 | 3
       179.1536 | 13
       179.7289 | 14
       180.3201 | 2
       183.6200 | 4
       186.6869 | 13
       187.4468 | 14
       188.0369 | 2
       191.2039 | 3
       194.2876 | 13
       194.8045 | 14
       195.3873 | 2
       198.8043 | 4
       201.8716 | 13
       202.4195 | 14
       203.0044 | 2
       205.8381 | 4
       208.9047 | 13
       209.6031 | 14
       210.1880 | 2
       213.9717 | 3
       217.0551 | 13
       217.6062 | 14
       218.1889 | 2
       221.9893 | 4
       225.0557 | 13
       225.7527 | 14
       226.3395 | 2
       229.7730 | 3
       232.8561 | 13
       233.6433 | 14
       234.2226 | 2
       237.1730 | 4
       240.2400 | 13
       241.2112 | 14
       241.7898 | 2
       245.6568 | 3
       248.7401 | 13
       249.7381 | 14
       250.3236 | 2
       253.4574 | 3
       256.5410 | 13
       257.1474 | 14
       257.7408 | 2
       261.5574 | 4
       264.6242 | 13
       265.2237 | 14
       265.8079 | 2
       269.5251 | 4
       272.5915 | 13
       274.0166 | 14
       274.6084 | 2
       277.8752 | 3
       280.9588 | 13
       281.7782 | 14
       282.3588 | 2
       285.7423 | 4
       288.8091 | 13
       289.6886 | 14
       290.2760 | 2
       294.4100 | 3
       297.4927 | 13
       298.1289 | 14
       298.7096 | 2
       302.8100 | 3
       305.8934 | 13
       306.5289 | 14
       307.1097 | 2
       310.5274 | 4
       313.5940 | 13
       314.2007 | 14
       314.7935 | 2
       317.8606 | 3
       320.9446 | 13
       321.6407 | 14
       322.2278 | 2
       326.1278 | 4
       329.1943 | 13
       329.9231 | 14
