Session Marker Log - Subject 008 - PRE Assessment
Date/Time: 2025-07-04 12:13:16
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        29.4303 | 32
        33.1466 | 48
        36.2137 | 208
        38.3975 | 224
        38.9801 | 32
        41.6639 | 64
        44.7304 | 208
        47.6005 | 224
        48.1807 | 32
        51.5974 | 64
        54.6642 | 208
        56.1154 | 224
        56.6979 | 32
        60.6310 | 48
        63.6980 | 208
        65.3325 | 224
        65.9150 | 32
        69.5819 | 64
        72.6486 | 208
        73.6766 | 224
        74.2653 | 32
        77.0994 | 48
        80.1661 | 208
        81.4362 | 224
        82.0156 | 32
        84.9828 | 48
        88.0496 | 208
        88.8984 | 224
        89.4831 | 32
        92.2172 | 64
        95.2832 | 208
        96.3158 | 224
        96.9004 | 32
        99.6839 | 48
       102.7505 | 208
       103.8092 | 224
       104.4006 | 32
       107.6840 | 64
       110.7509 | 208
       111.7200 | 224
       112.3009 | 32
       115.1512 | 48
       118.2176 | 208
       119.1858 | 224
       119.7680 | 32
       122.4513 | 64
       125.5179 | 208
       126.3668 | 224
       126.9518 | 32
       130.0848 | 64
       133.1517 | 208
       134.1504 | 224
       134.7353 | 32
       138.6857 | 48
       141.7524 | 208
       142.6934 | 224
       143.2855 | 32
       146.9862 | 64
       150.0525 | 208
       151.2035 | 224
       151.7862 | 32
       155.1027 | 48
       158.1695 | 208
       158.9580 | 224
       159.5533 | 32
       163.4204 | 64
       166.4872 | 208
       167.3695 | 224
       167.9537 | 32
       171.6870 | 48
       174.7542 | 208
       175.4831 | 224
       176.0706 | 32
       178.8376 | 64
       181.9043 | 208
       182.6930 | 224
       183.2885 | 32
       187.2713 | 48
       190.3378 | 208
       191.0061 | 224
       191.5885 | 32
       194.6222 | 48
       197.6884 | 208
       198.4470 | 224
       199.0389 | 32
       202.0222 | 64
       205.0890 | 208
       205.9382 | 224
       206.5220 | 32
       209.2727 | 48
       212.3391 | 208
       213.1293 | 224
       213.7227 | 32
       217.6561 | 64
       220.7233 | 208
       221.8137 | 224
       222.4066 | 32
       225.5406 | 64
       228.6065 | 208
       231.0816 | 224
       231.6737 | 32
       235.5903 | 48
       238.6574 | 208
       239.2938 | 224
       239.8740 | 32
       243.9246 | 64
       246.9908 | 208
       248.1850 | 224
       248.7748 | 32
       251.5749 | 48
       254.6413 | 208
       255.3399 | 224
       255.9253 | 32
       259.4416 | 64
       262.5088 | 208
       263.6572 | 224
       264.2422 | 32
       267.5095 | 48
       270.5758 | 208
       271.3052 | 224
       271.8922 | 32
       275.8758 | 48
       278.9425 | 208
       279.4918 | 224
       280.0764 | 32
       283.4264 | 64
       286.4931 | 208
       288.5141 | 224
       289.0937 | 32
       292.4935 | 64
       295.5605 | 208
       297.0106 | 224
       297.5936 | 32
       300.6773 | 48
       303.7442 | 208
       304.8025 | 224
       305.3942 | 32
       309.3781 | 64
       312.4445 | 208
       313.2043 | 224
       313.7945 | 32
       317.5290 | 48
       320.5952 | 208
       322.9208 | 224
       323.5118 | 32
       327.6788 | 48
       330.7456 | 208
       331.3531 | 224
       331.9455 | 32
       335.1792 | 64
       338.2458 | 208
       339.0665 | 224
       339.6459 | 32
       342.8628 | 48
       345.9299 | 208
       346.4483 | 224
       347.0300 | 32
       349.7798 | 64
       352.8472 | 208
       354.0879 | 224
