Subject,Loss,Accuracy
1,0.660894,0.848837
2,0.562209,0.842105
3,0.876908,0.719512
4,1.074022,0.693182
5,0.735194,0.773810
6,0.736887,0.795455
7,0.681386,0.802326
8,0.636827,0.866667
9,1.087531,0.590909
10,0.861501,0.728571
11,0.463214,0.933333
12,0.655818,0.825581
13,0.670692,0.772727
14,0.448458,0.933333
15,0.713742,0.761364
16,0.475726,0.920455
17,0.586441,0.887500
18,0.600412,0.855556
19,0.795751,0.755814
20,0.637547,0.811111
21,0.827565,0.763889
22,0.598210,0.866667
23,0.609817,0.818182
25,0.801536,0.800000
27,1.411878,0.513514
28,0.564413,0.888889
29,0.597132,0.866667
30,0.715033,0.819444
31,1.080558,0.697674
32,0.693442,0.744444
33,0.582419,0.840909
