channel_name,channel_index,mean_abs_shap
['P5'],40,0.0007618649619443969
['F5'],32,0.0005971369970636685
['FC1'],5,0.0005919977372240906
['C1'],35,0.0005892094311743659
['FT8'],54,0.0005891010609516885
['F7'],3,0.0005800984301591534
['P8'],17,0.0005783405599830958
['Oz'],14,0.0005669917971766418
['PO3'],42,0.0005665039218322482
['F3'],2,0.0005557988033571502
['POz'],43,0.0005449987432583555
['P6'],46,0.0005382769216542391
['TP7'],37,0.0005156981679517789
['F8'],26,0.0005046789576790951
['CP4'],49,0.0005027055033327379
['CP1'],9,0.000489756464946518
['AF7'],28,0.0004748671692233989
['CP2'],19,0.00046917887003882516
['CPz'],48,0.0004560280026463192
['Fz'],1,0.00044553285814715403
['PO7'],41,0.00044180164031756874
['O2'],15,0.00043958718170038674
['O1'],13,0.0004382522538798952
['Pz'],10,0.0004351230599666986
['AF8'],56,0.0004191683152951463
['P2'],47,0.0004145867429131345
['F6'],55,0.00040590004771343016
['T7'],7,0.00040009822393072904
['F4'],25,0.00039987485968229355
['CP5'],8,0.00039571675792428416
['P3'],11,0.0003918040684046054
['FCz'],59,0.0003833321915935188
['P1'],39,0.0003795432430295838
['PO4'],44,0.00037862170547012475
['Cz'],20,0.0003709848125469943
['TP8'],50,0.0003703743445051288
['C2'],52,0.00036588214739389276
['F1'],31,0.00036423867261351064
['CP3'],38,0.0003641592606559547
['C5'],36,0.00036399960516354064
['F2'],58,0.0003595147793265432
['T8'],22,0.00035931008021751275
['C6'],51,0.0003546440594355079
['Fp2'],27,0.00034556388917300065
['AF3'],29,0.00033861162889501923
['FC5'],4,0.00033677055117761556
['P4'],16,0.0003353257136779546
['Fp1'],0,0.00033490483916132514
['C3'],6,0.0003263435377331997
['AFz'],30,0.0003256724675215261
['FC2'],24,0.0003243579717493245
['CP6'],18,0.00032239306797099794
['PO8'],45,0.00032215718790935507
['AF4'],57,0.00031860428403982714
['P7'],12,0.0003145982786471425
['FC4'],53,0.000313291543499742
['FC3'],34,0.00030269323927519567
['FC6'],23,0.0002903194431464634
['C4'],21,0.00028744995829183077
['FT7'],33,0.00027937784408106186
